Class,Gender,Age,Survived,Family
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,,2
1st,adult,male,yes,3
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,40
1st,adult,male,yes,100
1st,adult,adult,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,
1st,adult,male,yes,
1st,adult,male,yes,2
1,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,22
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,44
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,1,1
1st,adult,male,yes,1
1st,adult,male,yes,11
1st,adult,male,yes,1
1st,adult,male,yes,
1st,adult,male,yes,1
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,yes,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,3
1st,adult,male,yes,2
1st,adult,male,yes,1
1st,adult,male,yes,2
1st,adult,male,yes,111
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,2,1
1st,adult,male,no,11
1st,adult,male,no,1
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,222
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,22
1st,adult,male,2,1
1st,adult,male,no,2
1st,adult,male,no,3
,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,no,no,2
1st,adult,male,2,yes
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,
1st,adult,male,no,
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
male,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,2,2
3rd,adult,male,no,2
3rd,adult,male,no,3
3rd,adult,male,no,4
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,1,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,4
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,2,3
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,3
3rd,adult,male,no,33
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,noo,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
1st,adult,female,yes,2
1st,adult,female,yes,2
1st,adult,female,yes,2
1st,adult,female,yes,no
3rd,adult,female,yes,no
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,2
3rd,adult,female,yes,1
2,adult,female,yes,1
3rd,adult,female,yes,1
3rd,adult,female,yes,1
3rd,adult,female,2,1
3rd,adult,female,yes,1
3rd,adult,,yes,1
3rd,adult,female,yes,1
3rd,adult,female,yes,1
3rd,adult,female,yes,1
3rd,adult,female,yes,1
3rd,adult,female,yes,1
3rd,adult,female,yes,1
3rd,adult,female,yes,4
3rd,adult,female,yes,4
3rd,adult,female,yes,4
3rd,adult,female,yes,4
3rd,adult,female,yes,4
3rd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,2,yes,4
2,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,4
2nd,adult,female,yes,44
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,female,yes,1
2nd,adult,2,yes,1
2nd,adult,female,yes,2
2nd,adult,female,yes,2
2nd,adult,female,yes,2
2nd,adult,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,1.1
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,2,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2
2nd,child,female,yes,2.22
2nd,child,female,yes,2
2nd,child,2,yes,2
2nd,child,female,yes,3
2nd,child,female,yes,3
2nd,child,female,no,3
2nd,child,female,no,3
2nd,child,female,no,3
2nd,child,female,no,3
2nd,child,male,yes,3
2nd,child,male,yes,3
2nd,child,male,yes,3
2nd,child,male,yes,3
2nd,child,male,yes,3
2,child,2,yes,3
3,child,male,yes,3
2nd,child,male,yes,3
2nd,child,male,yes,3.5
2nd,child,male,yes,3
2nd,child,male,yes,3
2nd,child,male,yes,4
2nd,child,male,yes,4
2nd,child,male,yes,4
2nd,child,male,yes,4
2nd,child,male,yes,4
2nd,child,male,yes,4.4
2nd,child,male,yes,
2nd,adult,male,yes,2
2nd,adult,male,yes,1
2nd,adult,male,no,1
2nd,adult,male,no,1
2nd,adult,male,no,1
2nd,adult,male,no,
2nd,child,male,no,3
2nd,child,male,no,2
2nd,child,male,no,2
2nd,child,male,no,2
2nd,child,male,no,2
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,,no,3
2nd,child,male,no,3
2nd,adult,male,no,3
2nd,adult,male,no,3
2nd,adult,male,no,3
2nd,adult,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3male
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,3
2nd,child,male,no,1
2nd,child,male,no,1
2nd,child,male,no,1
2nd,child,male,2,1
2nd,child,male,no,1
3rd,child,male,no,1
3rd,child,male,no,1
3rd,child,male,no,adult
3rd,child,male,no,2
3rd,child,male,no,1
3rd,child,male,no,2
3rd,child,male,no,1
3rd,child,male,no,2
2,child,male,no,1
3rd,adult,male,no,2
3rd,adult,male,no,3
3rd,adult,male,no,2
3rd,adult,male,no,3
3rd,adult,male,no,2
3rd,adult,male,no,3
3rd,adult,male,no,2
3rd,adult,male,no,4
3rd,adult,male,no,3
3rd,adult,male,no,2
3rd,adult,male,no,1
3rd,adult,male,no,2nd
3rd,adult,male,no,2nd
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,1,no,2
3rd,adult,male,no,3
